Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1368,0,4,0,4435,1,3,3,0,4,0,5,2,2,4,2,6,5,2003,2004,1,1,12,13,1,170,2,4,2,2,4,0,2,685,6,0,163,848,1,0,1,5,848,0,0,848,1,0,1,0,1,1,2,4,6,0,1,2003.0,0,2,420,5,5,2,140,0,0,0,0,0,0,6,2009,8,4
1220,4,3,66,7800,1,0,3,0,4,0,12,2,2,0,2,5,5,1964,1964,1,1,13,14,2,0,3,4,1,4,4,3,5,312,3,600,0,912,1,4,1,5,912,0,0,912,0,0,1,0,2,1,3,5,6,0,1,1964.0,3,1,288,5,5,2,0,0,0,0,0,0,0,9,2006,8,0
465,0,4,0,3072,1,3,3,0,4,0,0,2,2,4,2,7,5,2004,2004,3,1,12,13,1,18,2,4,2,2,4,3,6,0,6,0,1375,1375,1,0,1,5,1414,0,0,1414,0,0,2,0,2,1,2,6,6,1,1,2004.0,0,2,398,5,5,2,144,20,0,0,0,0,0,8,2006,8,4
110,8,3,75,9525,1,3,3,0,4,0,7,2,2,0,0,6,4,1954,1972,1,1,13,14,2,0,3,4,1,4,0,3,5,444,6,0,550,994,1,2,1,5,1216,639,0,1855,0,0,2,0,4,1,3,7,6,0,1,1954.0,3,1,325,5,5,2,182,0,0,0,0,0,0,10,2006,8,4
492,9,3,105,15578,1,0,3,0,0,0,8,2,2,0,5,6,5,2006,2006,1,1,12,13,2,0,2,4,2,2,4,3,6,0,6,0,728,728,1,2,1,5,728,728,0,1456,0,0,2,1,3,1,3,8,6,0,1,2006.0,2,2,429,5,5,2,0,0,0,0,0,0,0,8,2006,6,5
1226,9,3,86,14598,1,0,3,0,1,0,21,1,2,0,5,6,5,2007,2007,1,1,12,13,3,74,2,4,2,2,4,2,6,0,6,0,894,894,1,0,1,5,894,1039,0,1933,0,0,2,1,4,1,2,9,6,1,3,2007.0,0,3,668,5,5,2,100,18,0,0,0,0,0,4,2008,8,4
129,4,3,69,8973,1,3,3,0,4,0,12,2,2,0,2,5,7,1958,1991,1,1,9,10,1,85,3,4,1,4,4,3,5,567,1,28,413,1008,1,4,1,0,1053,0,0,1053,0,1,1,1,3,1,0,6,6,0,0,1998.0,2,2,750,5,5,2,0,80,0,180,0,0,0,5,2006,8,0
307,8,4,0,7920,1,0,3,0,4,0,9,0,2,0,0,6,7,1920,1950,1,1,8,8,2,0,3,1,1,4,4,3,6,0,6,0,319,319,1,4,1,0,1035,371,0,1406,0,0,1,0,3,1,1,6,6,0,6,1980.0,1,0,0,3,3,0,0,144,0,0,0,0,0,7,2008,8,4
654,4,3,91,10437,1,0,3,0,4,0,15,2,2,0,2,8,6,1995,1995,3,1,8,8,1,660,2,2,2,2,4,1,2,1696,6,0,413,2109,1,0,1,5,2113,0,0,2113,1,0,2,1,2,1,2,7,6,1,1,1995.0,0,3,839,5,5,2,236,46,0,0,0,0,0,1,2008,8,4
796,4,3,71,8197,1,3,3,0,4,0,19,2,2,0,2,6,5,1977,1977,1,1,9,10,1,148,3,4,1,4,4,3,6,0,6,0,660,660,1,0,1,5,1285,0,0,1285,0,0,1,1,3,1,3,7,6,1,1,1977.0,2,2,528,5,5,2,138,0,0,0,0,0,0,0,2007,8,4
634,14,3,64,6979,1,3,3,0,4,0,17,2,2,2,6,6,5,1980,1980,1,1,9,10,2,0,3,4,1,4,4,3,2,1056,6,0,0,1056,1,2,1,5,1056,0,0,1056,2,0,0,0,0,2,3,4,6,0,5,1980.0,3,2,576,5,5,2,264,56,0,0,0,0,600,6,2010,8,4
574,12,3,70,10500,1,3,3,0,2,0,12,2,2,0,7,5,7,1971,2005,2,1,8,1,1,82,3,4,1,4,4,0,0,349,6,0,23,372,1,4,1,5,576,533,0,1109,0,1,1,0,3,1,3,5,6,0,3,1971.0,3,1,288,5,5,2,35,0,0,0,0,0,0,2,2007,8,4
831,1,1,30,3180,1,3,3,0,4,0,21,2,2,4,5,7,5,2005,2005,1,1,8,8,2,0,3,4,2,2,4,3,6,0,6,0,600,600,1,0,1,5,520,600,80,1200,0,0,2,1,2,1,2,4,6,0,5,2005.0,2,2,480,5,5,2,0,166,0,0,0,0,0,6,2006,8,4
124,4,3,48,17043,1,0,3,0,1,0,14,2,2,0,2,6,5,1979,1998,1,1,6,6,2,0,3,2,1,2,0,3,6,0,6,0,1362,1362,1,4,1,5,1586,0,0,1586,0,0,2,0,3,1,3,7,6,1,1,1979.0,3,2,435,5,5,2,192,0,0,0,0,0,0,4,2009,8,4
1406,13,3,70,8445,1,3,3,0,0,0,5,2,2,0,6,5,7,1972,2007,1,1,6,15,2,0,3,4,1,2,4,0,2,656,6,0,112,768,1,4,1,5,768,0,0,768,1,0,1,0,2,1,3,5,6,0,5,1988.0,3,2,396,5,5,2,58,0,0,0,0,0,0,7,2009,8,4
909,9,3,149,12589,1,1,3,0,4,0,8,2,2,0,5,6,5,2005,2005,1,1,12,13,2,0,2,4,2,2,4,3,6,0,6,0,742,742,1,0,1,5,742,742,0,1484,0,0,2,1,3,1,2,8,6,1,1,2005.0,0,2,390,5,5,2,36,24,0,0,0,0,0,6,2009,8,4
179,5,4,60,8520,1,3,3,0,4,0,17,2,2,0,2,5,6,1923,2006,1,1,13,14,2,0,2,4,1,4,4,3,6,0,6,0,968,968,1,4,1,5,968,0,0,968,0,0,1,0,2,1,3,5,6,0,5,1935.0,3,2,480,1,5,0,0,0,184,0,0,0,0,5,2007,8,4
1153,5,4,0,5890,1,3,3,0,0,0,9,2,2,0,2,6,8,1930,2007,1,1,13,14,2,0,2,2,0,4,4,0,0,538,6,0,278,816,1,0,1,5,816,0,0,816,0,0,1,0,2,1,3,5,6,0,5,2002.0,3,1,432,5,5,2,0,0,96,0,0,0,0,6,2008,8,4
1244,10,3,0,11435,1,0,1,0,0,1,6,2,2,0,5,8,7,1929,1950,1,1,3,12,2,0,3,4,2,2,4,3,6,0,6,0,792,792,1,1,1,5,792,725,0,1517,0,0,1,0,3,1,2,7,6,2,5,1931.0,3,2,400,5,5,2,0,0,0,0,0,0,0,6,2006,8,4
1234,10,2,55,8525,1,3,0,0,4,0,18,2,2,0,5,5,6,1911,1950,1,1,8,8,2,0,3,4,2,4,4,0,6,0,6,0,940,940,1,4,0,0,1024,940,0,1964,0,0,1,1,4,1,3,7,6,0,6,1980.0,1,0,0,3,3,0,0,192,0,0,0,0,0,9,2008,8,0
1207,4,3,70,9135,1,3,3,0,4,0,5,2,2,0,2,6,5,2003,2003,1,1,12,13,1,120,2,4,2,2,4,0,2,340,6,0,1342,1682,1,0,1,5,1700,0,0,1700,1,0,2,0,3,1,2,7,6,0,1,2003.0,2,2,544,5,5,2,192,23,0,0,0,0,0,8,2006,8,4
642,12,3,75,13860,1,3,3,0,4,0,12,2,2,0,7,8,7,1972,1995,1,1,9,14,2,0,2,4,1,2,4,1,2,1410,6,0,542,1952,1,2,1,5,2000,704,0,2704,1,0,2,1,4,1,0,9,6,3,1,1972.0,0,2,538,5,5,2,269,111,0,0,0,0,0,5,2009,8,4
1308,4,4,100,12000,1,3,3,0,4,0,17,2,2,0,2,5,7,1948,2005,1,1,8,8,2,0,3,4,1,4,4,3,2,144,0,608,172,924,1,0,1,5,1122,0,0,1122,1,0,1,0,2,1,2,6,6,0,1,1948.0,3,2,528,5,5,2,0,36,0,0,0,0,0,8,2008,8,4
270,9,1,84,10728,1,3,3,0,4,0,21,2,2,0,5,8,5,2006,2006,1,1,12,13,2,0,2,4,2,2,4,2,6,0,6,0,1095,1095,1,2,1,5,1095,844,0,1939,0,0,2,1,3,1,2,8,6,1,1,2006.0,2,3,1053,5,5,2,192,51,0,0,0,0,0,1,2006,6,5
